id,name,type,nationality,birth,career,startage,position
Baggio,Roberto Baggio,1,Italien,1967,1982,1,1
Banks,Gordon Banks,1,England,1937,1958,3,3
Baresi,Franco Baresi,1,Italien,1960,1978,1,2
Basten,Marco van Basten,1,Niederlande,1964,1981,1,1
Batistuta,Gabriel Batistuta,1,Argentinien,1969,1988,2,1
Beckenbauer,Franz Beckenbauer,1,Deutschland,1945,1964,2,2
Beckham,David Beckham,1,England,1975,1992,1,1
Bergkamp,Dennis Bergkamp,1,Niederlande,1969,1986,1,1
Best,George Best,1,Nordirland,1946,1963,1,1
Cantona,Eric Cantona,1,Frankreich,1966,1983,1,1
Charles,John Charles,1,Wales,1931,1948,1,1
Charlton,Bobby Charlton,1,England,1937,1954,1,1
Cruyff,Johan Cruyff,1,Niederlande,1947,1964,1,1
Dalglish,Kenneth Dalglish,1,Schottland,1951,1969,2,1
Didi,Valdir Pereira,1,Brasilien,1928,1946,2,1
Edwards,Duncan Edwards,1,England,1936,1952,1,1
Eusebio,Eusebio,1,Mosambik,1942,1957,1,1
Finney,Tom Finney,1,England,1922,1946,3,1
Fontaine,Just Fontane,1,Marokko,1933,1950,1,1
Garrincha,Manuel Francisco dos Santos,1,Brasilien,1933,1953,2,1
Gullit,Ruud Gullit,1,Niederlande,1962,1979,1,1
Hagi,Gheorghe Hagi,1,Rumanien,1965,1982,1,2
Jairzinho,Jair Ventura Filho,1,Brasilien,1944,1959,1,2
Jaschin,Lew Iwanowitsch Jaschin,1,Russland,1929,1950,3,3
Klinsmann,Jurgen Klinsmann,1,Deutschland,1964,1981,1,1
Lineker,Gary Lineker,1,England,1960,1978,2,1
Maldini,Paolo Maldini,1,Italien,1968,1985,1,2
Maradona,Diego Maradona,1,Argentinien,1960,1976,1,1
Matthaus,Lothar Matthaus,1,Deutschland,1961,1978,1,2
Matthews,Stanley Matthews,1,England,1915,1934,2,1
Meazza,Giuseppe Meazza,1,Italien,1910,1927,1,1
Moore,Bobby Moore,1,England,1941,1958,1,2
Muller,Gerd Muller,1,Deutschland,1945,1963,1,1
Owen,Michael Owen,1,England,1979,1996,1,1
Pele,Edson Pele,1,Brasilien,1940,1956,1,1
Platini,Michel Platini,1,Frankreich,1955,1973,1,1
Puskas,Ferenc Puskas,1,Ungarn,1927,1942,1,1
